Position-(m)-Run-1,Force-(N)-Run-1,Position-(m)-Run-2,Force-(N)-Run-2,Position-(m)-Run-3,Force-(N)-Run-3,Position-(m)-Run-4,Force-(N)-Run-4,Position-(m)-Run-5,Force-(N)-Run-5,Position-(m)-Run-6,Force-(N)-Run-6
0.0708,1.37,0.0496,0.99,0.0429,0.84,0.0541,1.08,0.0555,1.06,0.0576,1.14
0.0713,1.39,0.05,1.01,0.0434,0.87,0.0547,1.09,0.0563,1.07,0.0583,1.17
0.0719,1.4,0.0504,1.02,0.044,0.87,0.0553,1.09,0.0569,1.09,0.0589,1.18
0.0724,1.4,0.0508,1.02,0.0445,0.87,0.0559,1.11,0.0576,1.08,0.0595,1.18
0.0729,1.41,0.0513,1.03,0.045,0.9,0.0565,1.12,0.0583,1.1,0.06,1.2
0.0735,1.42,0.0518,1.04,0.0455,0.91,0.0571,1.11,0.0589,1.12,0.0606,1.21
0.074,1.43,0.0523,1.05,0.0461,0.9,0.0577,1.14,0.0595,1.12,0.0612,1.21
0.0745,1.45,0.0529,1.06,0.0466,0.92,0.0583,1.16,0.0603,1.14,0.0618,1.23
0.0751,1.46,0.0534,1.07,0.047,0.93,0.0588,1.15,0.0609,1.15,0.0625,1.24
0.0755,1.47,0.0538,1.07,0.0475,0.94,0.0594,1.16,0.0615,1.15,0.0631,1.24
0.076,1.47,0.0543,1.08,0.048,0.95,0.0599,1.18,0.0621,1.16,0.0635,1.25
0.0765,1.47,0.0548,1.09,0.0485,0.97,0.0604,1.17,0.0627,1.19,0.0641,1.27
0.077,1.49,0.0552,1.1,0.0489,0.97,0.061,1.19,0.0633,1.19,0.0646,1.27
0.0775,1.5,0.0557,1.1,0.0494,0.98,0.0615,1.21,0.0639,1.2,0.0652,1.29
0.078,1.51,0.0561,1.11,0.0498,0.99,0.062,1.2,0.0645,1.22,0.0657,1.3
0.0785,1.51,0.0565,1.12,0.0503,1,0.0626,1.22,0.065,1.22,0.0663,1.3
0.0789,1.53,0.057,1.13,0.0508,1,0.0631,1.24,0.0657,1.23,0.0668,1.31
0.0795,1.53,0.0575,1.14,0.0513,1.01,0.0635,1.23,0.0663,1.25,0.0674,1.33
0.08,1.54,0.0578,1.15,0.0518,1.02,0.064,1.24,0.0669,1.26,0.0679,1.34
0.0804,1.55,0.0583,1.15,0.0523,1.03,0.0645,1.26,0.0674,1.27,0.0684,1.34
0.0809,1.55,0.0587,1.16,0.0527,1.04,0.0649,1.25,0.068,1.28,0.0689,1.35
0.0812,1.56,0.0591,1.16,0.0532,1.05,0.0654,1.25,0.0686,1.29,0.0694,1.36
0.0817,1.57,0.0594,1.17,0.0537,1.05,0.0657,1.28,0.0692,1.29,0.0698,1.37
0.0821,1.57,0.0597,1.18,0.0542,1.06,0.0661,1.28,0.0698,1.31,0.0703,1.38
0.0826,1.58,0.06,1.18,0.0546,1.07,0.0665,1.28,0.0703,1.32,0.0708,1.39
0.0829,1.59,0.0603,1.18,0.0551,1.08,0.0668,1.31,0.0709,1.32,0.0713,1.39
0.0833,1.59,0.0605,1.19,0.0555,1.08,0.0672,1.29,0.0714,1.35,0.0718,1.4
0.0837,1.61,0.0608,1.19,0.0559,1.09,0.0674,1.29,0.072,1.34,0.0723,1.42
0.084,1.61,0.0609,1.2,0.0564,1.1,0.0678,1.32,0.0725,1.36,0.0728,1.42
0.0844,1.61,0.0611,1.21,0.0569,1.11,0.068,1.31,0.073,1.37,0.0732,1.42
0.0848,1.62,0.0614,1.2,0.0574,1.12,0.0683,1.31,0.0736,1.38,0.0736,1.43
0.085,1.62,0.0615,1.21,0.0578,1.12,0.0685,1.33,0.0741,1.38,0.0741,1.44
0.0852,1.62,0.0616,1.21,0.0583,1.13,0.0688,1.33,0.0746,1.4,0.0745,1.44
0.0855,1.63,0.0617,1.21,0.0588,1.14,0.069,1.33,0.0751,1.4,0.0748,1.46
0.0856,1.64,0.0617,1.21,0.0593,1.16,0.0692,1.35,0.0755,1.41,0.0753,1.47
0.0859,1.63,0.0617,1.21,0.0598,1.15,0.0694,1.35,0.076,1.42,0.0757,1.47
0.086,1.63,0.0617,1.21,0.0603,1.17,0.0696,1.33,0.0765,1.43,0.076,1.48
0.0861,1.65,0.0617,1.21,0.0608,1.18,0.0697,1.34,0.077,1.43,0.0764,1.5
0.0862,1.64,0.0617,1.21,0.0611,1.18,0.07,1.35,0.0774,1.44,0.0768,1.48
0.0862,1.64,0.0617,1.21,0.0617,1.19,0.0701,1.34,0.0779,1.45,0.0771,1.49
0.0863,1.65,0.0617,1.21,0.0622,1.2,0.0702,1.36,0.0782,1.45,0.0775,1.51
