,mass
1537,67.79518108049209
1539,52.797963742435186
1543,21.23886083278949
1544,17.988253646087458
1545,10.087794893077483
1546,65.59485368256415
1547,12.772146245889951
1552,9.108643926498118
1553,19.289030029636017
1554,35.585334716365594
1556,16.274273283264446
1563,8.960724240411635
1566,2.2175256371685976
1568,12.820390227749504
1570,4.385677527075855
1571,92.55259280359246
1572,18.661697331344225
1573,10.932734389084178
1574,13.6244205008499
1575,3.2539359595886403
1577,12.194619676044637
1578,91.84250962838505
1579,6.5959198837140915
1580,13.095664897923283
1584,43.38199820546306
1585,64.60265513589593
1589,8.904453375922573
1590,52.0996296310348
1594,14.50170377712345
1595,20.924627955399444
1596,16.909400155357837
1598,34.39183862353829
1600,15.823546640765295
1602,52.60728894212204
1603,50.673405297196076
1604,37.305706169446815
1605,78.85174824602822
1608,51.96417215496345
1609,7.38650740200999
1610,8.990055360769256
1613,28.198210255766245
1615,21.00567245666928
1618,92.01583558640924
1620,16.005628130163302
1623,18.195317494554047
1624,9.904190085653862
1625,48.732494602754535
1626,15.934842239804913
1630,19.19028022660951
1631,25.212433273159096
1636,2.1282427682552996
1638,29.681265251361467
1640,85.67189646266738
1641,11.11326989001437
1642,87.79633693844599
1645,3.0394920425037606
1646,33.9294090957977
1650,13.892263722190844
1652,23.2950372935322
1655,11.214939511232329
1656,32.308454542144226
1657,37.12869772690517
1658,5.527652116684894
1659,83.16233685004292
1661,19.423025458004222
1664,21.454524254707586
1666,19.658542113974434
1667,2.6340877367830355
1668,22.24980853928636
1669,28.475263727207167
1672,8.392794901096067
1674,67.50912468145027
1676,18.51575192395383
1677,94.38322144194906
1679,55.07529434751122
1685,90.37632659103818
1686,102.93115342976397
1687,27.52113505497729
1691,8.032401850855328
1693,69.10712292360245
1696,14.679027516763028
1697,3.13028545744626
1700,4.802322980142056
1701,13.100257848733362
1702,9.752641913261266
1706,8.78915365804291
1709,65.48251909031885
1711,9.588461895252024
1713,9.702994654909459
1714,15.227560185827507
1715,3.0465040259942815
1717,27.380902724115945
1718,40.80704621719389
1719,2.807209046824173
1723,15.838681097433597
1724,22.079524888454916
1725,94.72337131410596
1728,8.881544667252431
1729,47.344354077934135
1731,6.555092955519387
1733,91.50706210621341
1734,20.824540767998194
1735,12.970289133694372
1736,18.514131480712336
1737,49.73908520345241
1739,16.86423103183484
1740,20.679998994668747
1743,3.2021243880274084
1746,15.182908438935907
1748,9.91867365762641
1750,31.653727968366475
1751,14.898023650703603
1752,20.8533505607756
1753,7.36804192374076
1754,29.250308685877155
1756,17.005020770795927
1757,29.963091779221504
1760,14.307754955608667
1763,6.871487677895892
1764,35.34312710433635
1767,7.908474205561827
1768,2.890841183167999
1769,15.168355372893789
1770,44.39631798057487
1771,76.43148581888751
1772,11.266605876025832
1775,8.750923227130896
1777,17.19467145832983
1778,16.73397629252485
1781,18.00173658607066
1783,9.080762519407413
1785,19.468215603441305
1787,16.674966858166737
1788,63.196711110039395
1792,82.17331577741466
1802,8.02996068085036
1808,33.05391121338428
1809,32.89403737073325
1810,30.702236185825292
1811,22.954364455375405
1813,36.33875371501628
1814,16.569818808785833
1815,22.410156822026046
1816,3.394914630590702
1818,21.582733257006616
1821,12.822446307202142
1825,11.042352333556485
1828,10.889681432493765
1831,15.808231436634516
1832,59.124742905889235
1833,22.020446802637743
1836,20.26647495016092
1839,9.637843635476775
1841,78.16379909431396
1842,10.639010796541978
1843,12.010946257277011
1844,86.40464912254373
1845,54.826994355148635
1846,16.31341014298559
1847,21.823392198508024
1849,30.18970332918825
1851,53.68870350040987
1852,34.26379514634995
1854,80.58261968880137
1856,72.31786636457134
1857,63.79066567178932
1859,8.607591955132165
1861,12.036288579624333
1862,6.53184584174337
1863,2.148287296964019
1864,14.577959851553311
1865,7.677292496312429
1866,90.79449666675839
1867,30.54852799055953
1871,6.9497949415665214
1872,63.78664557061768
1874,24.30949998613505
1876,2.6797092106235634
1877,22.236375840275603
1880,69.75947388769069
1881,37.30982415207152
1884,59.42845768678
1885,31.056896867169456
1887,15.146075812218657
1889,17.476800495991153
1891,19.615046460171854
1892,27.331489352347727
1893,30.31593386146797
1894,25.485141774883363
1895,53.73246944950478
1899,10.261769975140743
1900,5.803348991904245
1901,86.48513672767999
1902,16.765538471919132
1903,104.18656564071871
1905,17.933639319530222
1908,8.017587396362568
1910,20.16426646216519
1911,33.5690028882822
1913,10.067234270379414
1915,47.00971618361464
1917,14.544240278804601
1918,22.389735445071693
1919,2.4810268031602676
1922,22.879799105044608
1923,42.134155859545245
1924,22.785915961845465
1926,86.55227885332425
1928,17.433032750886948
1929,9.51231477062243
1930,39.47663885667066
1931,33.83321729112678
1932,27.89953316715371
1934,56.90705416210805
1936,3.3454335436229776
1939,22.668903832861
1940,16.738391625212888
1942,95.48338845008576
1943,23.52450297231963
1948,84.6687213995812
1950,51.38573022213071
1953,10.270467059136113
1954,52.53657296914883
1955,26.625414489915464
1958,50.82744595075153
1963,15.453661822452112
1964,47.30794256446561
1965,34.76498503070871
1966,99.41459721103234
1968,17.144490381209934
1969,7.9327420025171556
1971,16.29283170377802
1973,19.724370457421095
1976,16.33467271892515
1977,19.858291146974366
1978,15.19365569404997
1979,104.42572203057013
1981,10.431707907025553
1982,10.50490481946584
1983,27.353958353746744
1984,12.455861980577764
1988,19.826589504397873
1992,20.31839072071409
1995,76.53185204891882
1996,15.14691718912466
1997,54.34231831267784
1999,29.198311912626043
2000,25.988199475458085
