"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.241135333E0,-2.328494263E1,-1.578610229E1,-3.687294769E1,4.637891601E1
1.251150333E0,-2.327093506E1,-1.576251221E1,-3.688138580E1,4.637057071E1
1.261165333E0,-2.328948975E1,-1.582669067E1,-3.664808655E1,4.621651997E1
1.271180333E0,-2.317883301E1,-1.577517700E1,-3.679053497E1,4.625643709E1
1.281195333E0,-2.325575256E1,-1.574252319E1,-3.686077118E1,4.633976171E1
1.291210333E0,-2.320474243E1,-1.569847107E1,-3.682365417E1,4.626968308E1
1.301225333E0,-2.311006165E1,-1.564636230E1,-3.680075073E1,4.618634925E1
1.311240333E0,-2.309555054E1,-1.563996887E1,-3.677314758E1,4.615492893E1
1.321254333E0,-2.317855835E1,-1.567292786E1,-3.698224640E1,4.637426855E1
1.331269333E0,-2.316921997E1,-1.562831116E1,-3.674790955E1,4.616779960E1
1.341284333E0,-2.306617737E1,-1.569221497E1,-3.674304962E1,4.613399879E1
1.351299333E0,-2.295266724E1,-1.557843018E1,-3.675797272E1,4.605063494E1
1.361314333E0,-2.303648376E1,-1.559669495E1,-3.677231598E1,4.611008241E1
1.371329333E0,-2.305059814E1,-1.558006287E1,-3.660565186E1,4.597871444E1
1.381344333E0,-2.311578369E1,-1.571458435E1,-3.678771210E1,4.620198457E1
1.391359333E0,-2.318420410E1,-1.568753052E1,-3.684743500E1,4.627460858E1
1.401374333E0,-2.318420410E1,-1.568753052E1,-3.684743500E1,4.627460858E1
1.411389333E0,-2.326217651E1,-1.563113403E1,-3.680381775E1,4.625994172E1
1.421404333E0,-2.327420044E1,-1.572241211E1,-3.671490479E1,4.622625750E1
1.431419333E0,-2.320851135E1,-1.573785400E1,-3.663813782E1,4.613749224E1
1.441434333E0,-2.321141052E1,-1.573262024E1,-3.665785980E1,4.615282877E1
1.451448333E0,-2.326927185E1,-1.581857300E1,-3.664295197E1,4.619948260E1
1.461463333E0,-2.308340454E1,-1.556253052E1,-3.669390869E1,4.605951429E1
1.471478333E0,-2.310377502E1,-1.573483276E1,-3.669640350E1,4.613020066E1
1.481493333E0,-2.311032104E1,-1.565205383E1,-3.665043640E1,4.606873361E1
1.491508333E0,-2.305838013E1,-1.575907898E1,-3.671543884E1,4.613091061E1
1.501523333E0,-2.315173340E1,-1.571110535E1,-3.652385712E1,4.600906138E1
1.511538333E0,-2.308245850E1,-1.556105042E1,-3.641565704E1,4.583717114E1
1.521553333E0,-2.314610291E1,-1.565902710E1,-3.658099365E1,4.603386043E1
1.531568333E0,-2.311528015E1,-1.558587646E1,-3.660869598E1,4.601556632E1
1.541583333E0,-2.323217773E1,-1.562411499E1,-3.648151398E1,4.598638835E1
1.551598333E0,-2.315490723E1,-1.557723999E1,-3.662343597E1,4.604428517E1
1.561613333E0,-2.299472046E1,-1.563487244E1,-3.672956848E1,4.606807578E1
1.571628333E0,-2.296041870E1,-1.551296997E1,-3.666253662E1,4.595622543E1
1.581642333E0,-2.306842041E1,-1.568299866E1,-3.669311523E1,4.609222464E1
1.591657333E0,-2.305599976E1,-1.561962891E1,-3.657946014E1,4.597400174E1
1.601672333E0,-2.297186279E1,-1.557600403E1,-3.668814850E1,4.600368053E1
1.611687333E0,-2.317201233E1,-1.571405029E1,-3.672323608E1,4.617867041E1
1.621702333E0,-2.318829346E1,-1.557803345E1,-3.657492828E1,4.602279281E1
1.631717333E0,-2.320887756E1,-1.558654785E1,-3.662322235E1,4.607442769E1
1.641732333E0,-2.314683533E1,-1.557521057E1,-3.650363922E1,4.594430157E1
1.651747333E0,-2.327079773E1,-1.559538269E1,-3.656153870E1,4.605965805E1
1.661762333E0,-2.329406738E1,-1.564430237E1,-3.648168182E1,4.602467686E1
1.671777333E0,-2.311886597E1,-1.565177917E1,-3.646138763E1,4.592268441E1
1.681792333E0,-2.314508057E1,-1.563085938E1,-3.664920807E1,4.607800963E1
1.691807333E0,-2.317808533E1,-1.569039917E1,-3.652020264E1,4.601236210E1
1.701822333E0,-2.314942932E1,-1.573072815E1,-3.661467743E1,4.608672791E1
1.711836333E0,-2.326132202E1,-1.574705505E1,-3.655503082E1,4.610129199E1
1.721851333E0,-2.333901978E1,-1.570220947E1,-3.655825043E1,4.612781049E1
1.731866333E0,-2.325132751E1,-1.571588135E1,-3.654158020E1,4.607494158E1
1.741881333E0,-2.292062378E1,-1.553588867E1,-3.654782867E1,4.585261838E1
1.751896333E0,-2.302778625E1,-1.559097290E1,-3.647676849E1,4.586842068E1
1.761911333E0,-2.316911316E1,-1.566439819E1,-3.651655579E1,4.599608703E1
1.771926333E0,-2.315441895E1,-1.559672546E1,-3.667552185E1,4.609206944E1
1.781941333E0,-2.313865662E1,-1.555038452E1,-3.658415222E1,4.599578331E1
1.791956333E0,-2.324960327E1,-1.563265991E1,-3.666313171E1,4.614227276E1
1.801971333E0,-2.310388184E1,-1.554747009E1,-3.645439911E1,4.587413647E1
1.811986333E0,-2.307141113E1,-1.561177063E1,-3.648473358E1,4.590373817E1
1.822001333E0,-2.310388184E1,-1.565048218E1,-3.652829742E1,4.596785247E1
1.832016333E0,-2.304289246E1,-1.557888794E1,-3.641204071E1,4.582044686E1
1.842031333E0,-2.322830200E1,-1.552507019E1,-3.648811340E1,4.595611209E1
1.852045333E0,-2.317227173E1,-1.543241882E1,-3.625907898E1,4.571470810E1
1.862060333E0,-2.320220947E1,-1.534698486E1,-3.638267517E1,4.579925241E1
1.872075333E0,-2.322322083E1,-1.539231873E1,-3.649949646E1,4.591791266E1
1.882090333E0,-2.320947266E1,-1.544673157E1,-3.643922424E1,4.588134916E1
1.892105333E0,-2.323628235E1,-1.558717346E1,-3.650430298E1,4.599400972E1
1.902120333E0,-2.323480225E1,-1.564004517E1,-3.636697388E1,4.590232932E1
1.912135333E0,-2.312919617E1,-1.561048889E1,-3.641707611E1,4.587864984E1
1.922150333E0,-2.311355591E1,-1.542584229E1,-3.639903259E1,4.579391500E1
1.932165333E0,-2.319343567E1,-1.558413696E1,-3.644347382E1,4.592306138E1
1.942180333E0,-2.319180298E1,-1.542700195E1,-3.646103668E1,4.588310485E1
1.952195333E0,-2.310728455E1,-1.540750122E1,-3.652719879E1,4.588653337E1
1.962210333E0,-2.327937317E1,-1.559533691E1,-3.657260895E1,4.607276282E1
1.972225333E0,-2.317706299E1,-1.559663391E1,-3.664619446E1,4.608009121E1
1.982239333E0,-2.315380859E1,-1.550001526E1,-3.669033051E1,4.607092009E1
1.992254333E0,-2.309350586E1,-1.550836182E1,-3.659899902E1,4.597070838E1
2.002269333E0,-2.309747314E1,-1.546484375E1,-3.661945343E1,4.597433009E1
2.012284333E0,-2.310658264E1,-1.543554688E1,-3.633681488E1,4.574422788E1
2.022299333E0,-2.315563965E1,-1.547222900E1,-3.653224182E1,4.593667609E1
2.032314333E0,-2.312553406E1,-1.545501709E1,-3.637269592E1,4.578887296E1
2.042329333E0,-2.315484619E1,-1.541275024E1,-3.645967865E1,4.585856452E1
2.052344333E0,-2.305123901E1,-1.536784363E1,-3.652114868E1,4.584020658E1
2.062359333E0,-2.317739868E1,-1.544389343E1,-3.657440186E1,4.597164914E1
2.072374333E0,-2.320318604E1,-1.541871643E1,-3.649279022E1,4.591131012E1
2.082389333E0,-2.325202942E1,-1.548333740E1,-3.632412720E1,4.582393289E1
2.092404333E0,-2.322105408E1,-1.543135071E1,-3.656806183E1,4.598442218E1
2.102419333E0,-2.311178589E1,-1.553112793E1,-3.665520477E1,4.603232146E1
2.112433333E0,-2.307749939E1,-1.545539856E1,-3.677268982E1,4.608330543E1
2.122448333E0,-2.308480835E1,-1.545166016E1,-3.682335663E1,4.612615063E1
2.132463333E0,-2.305902100E1,-1.549551392E1,-3.676550293E1,4.608179257E1
2.142478333E0,-2.301177979E1,-1.554382324E1,-3.672525024E1,4.604233330E1
2.152493333E0,-2.315222168E1,-1.553698730E1,-3.658251953E1,4.599678335E1
2.162508333E0,-2.299594116E1,-1.554019165E1,-3.667398071E1,4.599230074E1
2.172523333E0,-2.301353455E1,-1.558677673E1,-3.661003876E1,4.596591475E1
2.182538333E0,-2.327706909E1,-1.565510559E1,-3.643486023E1,4.598264147E1
2.192553333E0,-2.325192261E1,-1.558894348E1,-3.653187561E1,4.602439570E1
2.202568333E0,-2.323454285E1,-1.552223206E1,-3.660522461E1,4.605134241E1
2.212583333E0,-2.323927307E1,-1.555574036E1,-3.648081207E1,4.596623239E1
2.222598333E0,-2.340489197E1,-1.567984009E1,-3.672174072E1,4.628317831E1
2.232613333E0,-2.338682556E1,-1.552973938E1,-3.645976257E1,4.601554848E1
2.242627333E0,-2.338682556E1,-1.552973938E1,-3.645976257E1,4.601554848E1
2.252642333E0,-2.333177185E1,-1.550675964E1,-3.653465271E1,4.603924436E1
2.262657333E0,-2.339906311E1,-1.563279724E1,-3.673125458E1,4.627186582E1
2.272672333E0,-2.322416687E1,-1.563056946E1,-3.662596893E1,4.609922156E1
2.282687333E0,-2.331201172E1,-1.557878113E1,-3.644038391E1,4.597879828E1
2.292702333E0,-2.331303406E1,-1.554722595E1,-3.661717224E1,4.610890472E1
2.302717333E0,-2.344709778E1,-1.564801025E1,-3.649534607E1,4.611438934E1
2.312732333E0,-2.350495911E1,-1.563467407E1,-3.661463928E1,4.623373169E1
2.322747333E0,-2.338186646E1,-1.559373474E1,-3.659176636E1,4.613928486E1
2.332762333E0,-2.335914612E1,-1.563395691E1,-3.671324158E1,4.623778134E1
2.342777333E0,-2.321189880E1,-1.543345642E1,-3.655558777E1,4.597058647E1
2.352792333E0,-2.307856750E1,-1.541595459E1,-3.671152496E1,4.602182090E1
2.362807333E0,-2.308334351E1,-1.542631531E1,-3.659825897E1,4.593739774E1
2.372822333E0,-2.319773865E1,-1.547895813E1,-3.674873352E1,4.613244670E1
2.382836333E0,-2.311390686E1,-1.545996094E1,-3.651946259E1,4.590135325E1
2.392851333E0,-2.317430115E1,-1.538528442E1,-3.647785187E1,4.587361864E1
2.402866333E0,-2.304144287E1,-1.542889404E1,-3.668556976E1,4.598684475E1
2.412881333E0,-2.313667297E1,-1.540840149E1,-3.654029083E1,4.591206080E1
2.422896333E0,-2.331332397E1,-1.554527283E1,-3.667272186E1,4.615252009E1
2.432911333E0,-2.324169922E1,-1.551441956E1,-3.672301483E1,4.614600324E1
2.442926333E0,-2.338972473E1,-1.551351929E1,-3.667260742E1,4.618039236E1
2.452941333E0,-2.328558350E1,-1.545451355E1,-3.662573242E1,4.607064861E1
