Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,mass
147926,564912824,88.5165,42.4868,-37.941,-67.7534,56.9618,-1.0092,-0.728938,1,48.0095,-25.8044,21.4023,-34.3655,33.525,-0.898991,2.44918,-1,87.51712901678164
147926,452491520,53.259,5.27296,40.7282,-33.9105,41.0682,-0.752621,1.44205,1,45.8752,-4.02392,-44.148,-11.8023,44.331,-0.263183,-1.66169,-1,87.89012682229102
147754,80917102,113.096,-3.46824,22.1568,-110.85,22.4266,-2.30115,1.72607,1,16.7952,2.1514,-5.11319,15.8526,5.54736,1.77245,-1.17253,-1,86.91949793494149
149181,102110448,36.2503,-34.3951,3.49191,10.9026,34.5719,0.310353,3.04042,-1,93.8081,40.4456,7.47338,84.3106,41.1303,1.46571,0.182715,1,87.7085390443023
147114,193601503,91.4243,-3.13122,40.4591,81.9247,40.5801,1.45203,1.64803,1,164.61,22.0303,-41.3712,157.796,46.8712,1.92841,-1.08148,-1,87.91781171493983
149181,1574752278,81.1662,41.62,-15.8012,-67.8679,44.5185,-1.20827,-0.362845,1,127.575,-36.5227,13.6419,-121.472,38.9873,-1.85441,2.78412,-1,87.70772942933819
147926,223676598,67.0117,14.2337,1.94542,65.4537,14.366,2.22146,0.135836,1,30.2392,3.21721,-9.27576,-28.601,9.81785,-1.79062,-1.23694,-1,87.98493001177133
147926,349985921,14.3624,14.323,-0.717144,-0.783811,14.3409,-0.0546283,-0.0500276,1,215.475,-41.6285,5.09258,211.354,41.9389,2.32017,3.01986,-1,87.86746367583495
149182,137368508,31.815,12.1123,-25.8052,14.1272,28.5064,0.477256,-1.13195,-1,178.992,-22.3971,14.8799,176.961,26.8894,2.58306,2.55518,1,87.74822949000169
149011,472942671,84.4289,-49.2947,27.1665,-62.9305,56.2849,-0.962449,2.6379,-1,24.6961,21.3911,3.09971,11.9461,21.6146,0.527834,0.143904,1,87.2593961755174
148031,399577275,135.768,17.8178,23.5954,132.509,29.5672,2.20536,0.924015,-1,14.2312,-0.029431,-3.91281,-13.6827,3.91292,-1.96484,-1.57832,1,87.6141541542332
147754,88864738,87.0431,-1.01134,16.8192,-85.3966,16.8496,-2.32572,1.63085,-1,22.0047,4.27399,-0.847721,21.569,4.35725,2.30261,-0.195803,1,86.90067397097711
149181,162366015,51.9986,-38.3194,6.23489,-34.592,38.8234,-0.802169,2.9803,-1,161.784,21.244,-21.8414,-158.889,30.4689,-2.35371,-0.799262,1,87.937308704667
149011,651132372,62.5746,19.7463,34.7558,-48.1425,39.9735,-1.01876,1.05413,1,55.1604,-15.7365,-43.2818,-30.3598,46.0538,-0.618943,-1.91952,-1,87.23616192651991
148029,334532458,158.999,4.68878,34.2604,-155.193,34.5797,-2.20673,1.43478,1,61.8286,-14.3061,-36.8808,-47.5175,39.5583,-1.01674,-1.94083,-1,87.02828719081852
149181,674952060,58.8134,-2.29435,-13.5486,-57.1856,13.7415,-2.13316,-1.73855,-1,36.2308,-19.8512,3.05598,30.1539,20.0851,1.19549,2.98885,1,87.76198886467364
148031,271244210,51.0704,-8.76859,10.9365,-49.1089,14.0177,-1.96664,2.24662,-1,39.3315,-5.11684,-18.1227,34.5305,18.8312,1.36668,-1.84598,1,87.83807340968436
147929,508391464,120.318,40.0309,-10.074,113.016,41.279,1.73212,-0.246535,1,204.362,-42.7126,8.97135,199.647,43.6446,2.22536,2.93456,-1,87.46738523065326
149011,737335531,87.7781,9.34171,33.8423,80.4514,35.108,1.5669,1.30147,1,249.588,-14.1594,-45.3838,245.018,47.5413,2.34216,-1.87322,-1,87.91552043674582
147926,205769587,56.977,4.62997,18.4546,-53.7063,19.0265,-1.76084,1.32499,1,34.5111,9.56261,-7.1274,32.3848,11.9266,1.72437,-0.640513,-1,87.09610377315164
149182,218939497,72.2145,-39.2586,18.7515,-57.6374,43.507,-1.09347,2.69599,-1,104.63,37.6141,-16.2935,-96.2657,40.9914,-1.58942,-0.408774,1,87.05783621472565
148029,131467059,96.0971,24.3573,-27.6799,-88.7423,36.8708,-1.61207,-0.849161,1,261.643,-35.702,26.655,-257.822,44.5547,-2.45608,2.50027,-1,87.98529692749798
147114,435081325,42.891,35.895,16.8857,-16.3115,39.6683,-0.400411,0.439704,-1,45.7772,-33.7997,-9.68048,29.316,35.1586,0.758861,-2.86265,1,87.38779773888113
147926,163375069,38.944,-19.5431,-33.5086,3.44628,38.7912,0.0887253,-2.09879,1,65.9541,24.0858,28.7552,54.249,37.5098,1.16458,0.873536,-1,87.35923027638006
147114,622589337,147.582,3.41117,35.2528,143.269,35.4175,2.10561,1.47433,1,43.568,-3.54347,-34.2349,26.713,34.4178,0.713926,-1.67393,-1,87.42647512224195
149181,1768420379,34.6155,28.4095,13.5496,14.4063,31.4753,0.443064,0.445029,-1,95.5574,-49.8896,-20.1511,78.9695,53.8056,1.1767,-2.75772,1,87.86904671447165
147929,205972101,25.9501,15.893,-8.05578,-18.8659,17.8181,-0.922352,-0.469133,-1,78.6064,-14.2162,8.07347,76.8875,16.3488,2.25245,2.62511,1,86.96403655830322
149181,86493818,27.4752,20.9699,14.5246,10.207,25.5088,0.390163,0.605767,-1,147.157,-59.789,6.10869,134.325,60.1003,1.54405,3.03978,1,87.60280287642576
146944,473832530,51.8572,19.5855,-1.06959,48.0045,19.6147,1.62751,-0.0545572,-1,42.7753,-38.4589,-5.19151,-17.9911,38.8078,-0.448417,-3.00742,1,87.51628006216899
147754,361745963,90.7827,-26.0197,-42.1116,-76.0991,49.5017,-1.21528,-2.12426,-1,70.1123,10.1169,38.5377,-57.6908,39.8435,-1.16553,1.31407,1,87.87372686952567
148029,259330156,95.9613,-5.7765,-43.3915,-85.3954,43.7743,-1.42142,-1.70314,1,79.5141,8.85346,42.3674,-66.7017,43.2825,-1.21734,1.36479,-1,87.45039572865517
149181,1673871703,22.3329,-9.57883,19.5176,-5.10578,21.7415,-0.232734,2.02704,-1,298.058,-20.7549,56.7453,-291.87,60.4218,-2.27865,1.92144,1,87.86096860425968
149011,108907408,351.35,8.49696,-69.9823,344.205,70.4962,2.28915,-1.44997,1,68.5212,-7.58821,23.87,63.7793,25.0471,1.66432,1.87859,-1,87.82633719504392
147754,75965257,112.676,27.8017,-29.4338,105.15,40.4881,1.68269,-0.813906,-1,41.4897,-35.2834,9.31414,19.7414,36.4921,0.517561,2.8835,1,87.79763498594028
149182,222231662,37.7331,26.4307,-26.7759,-2.87242,37.6236,-0.0762724,-0.791886,-1,52.3739,-46.0548,24.7654,2.94157,52.2912,0.056224,2.64821,1,87.92109676418681
147115,69864289,145.633,17.6984,-29.9557,-141.415,34.7933,-2.11022,-1.03715,-1,39.8502,-14.1792,29.9673,-22.1121,33.1526,-0.625407,2.01274,1,87.46725184107481
149182,128776814,74.6743,25.9234,33.9089,61.2732,42.683,1.15847,0.918079,-1,68.1731,-26.978,-34.8573,52.007,44.0777,1.00304,-2.22945,1,87.0112885262596
149181,707470970,208.456,13.1068,-37.6589,-204.607,39.8746,-2.33786,-1.23587,1,155.809,-16.315,42.3627,-149.05,45.3958,-1.90443,1.93841,-1,87.08213533394758
146644,520243800,121.04,-16.8845,-31.8578,-115.545,36.0556,-1.88125,-2.05815,-1,91.6459,14.0714,45.949,-78.0363,48.0553,-1.26157,1.27363,1,86.92006040074988
149011,193181038,60.0075,30.0831,-25.4138,45.2774,39.3809,0.983389,-0.701459,1,74.1827,-41.2625,26.8571,55.4904,49.2331,0.968451,2.5646,-1,87.89651961226907
147929,378897556,32.2555,30.8458,-2.03237,-9.20987,30.9127,-0.293692,-0.0657932,1,74.9676,-22.6528,14.6195,69.9518,26.9607,1.6818,2.56848,-1,87.07267092979403
149181,232771464,41.358,-11.0919,-22.4246,-32.9332,25.0178,-1.0884,-2.03014,1,47.8889,23.6689,11.8412,39.9113,26.4656,1.19922,0.463876,-1,87.44212940819773
149182,383255239,34.1459,9.29243,-24.699,21.6692,26.3892,0.749089,-1.21095,-1,58.3331,-6.27181,23.954,-52.8169,24.7614,-1.50159,1.82688,1,87.02015315733247
149181,1496975731,93.8977,-20.9616,44.2237,80.1353,48.94,1.26865,2.01342,-1,42.9165,15.4331,-31.9127,24.1914,35.4486,0.638219,-1.12035,1,87.4753677071437
149011,448188371,25.8763,24.5653,8.11132,0.580038,25.8698,0.0224196,0.318923,1,130.308,-23.3154,2.77514,128.175,23.4799,2.39868,3.02312,-1,87.72456038514501
147115,214914388,73.7464,-19.2911,-30.9879,-64.0792,36.502,-1.32862,-2.12762,1,165.854,27.2648,40.5274,-158.498,48.845,-1.89318,0.978594,-1,87.8245966024325
148029,187956833,101.82,10.8887,-42.7263,-91.778,44.092,-1.47951,-1.32126,1,49.3166,-11.8633,36.3702,-31.1223,38.2562,-0.743193,1.8861,-1,87.72934666974326
147754,501908310,41.6428,-4.17327,36.2998,-19.9757,36.5389,-0.522586,1.68526,1,46.8078,0.692405,-43.908,16.2042,43.9135,0.361104,-1.55503,-1,87.97319648462125
146644,1413312329,57.112,28.3286,-14.5277,47.4153,31.8366,1.18883,-0.473858,1,34.8934,-21.6831,17.829,-20.7248,28.0719,-0.683743,2.45343,-1,87.73568023882873
147114,663429007,26.1774,23.6727,-10.2985,-4.3364,25.8158,-0.167195,-0.410341,-1,102.988,-26.1388,12.0375,98.8854,28.7774,1.94805,2.71002,1,87.94931145807794
149181,593887862,195.886,-32.1028,39.2051,-189.218,50.6718,-2.02814,2.25692,-1,106.781,17.8242,-32.1904,-100.241,36.7957,-1.72744,-1.06511,1,86.99261907742525
149182,25069578,248.376,-54.4879,25.3741,240.993,60.1064,2.097,2.70577,-1,169.169,30.8503,-7.89084,166.145,31.8435,2.35423,-0.25041,1,87.85257803281789
147929,267735844,93.8409,16.9251,-28.0349,-87.9414,32.7477,-1.71398,-1.02765,1,32.4031,-13.5872,29.2514,-3.11567,32.253,-0.0964513,2.00564,-1,87.3701098222676
149181,1360733031,39.0566,-28.9256,-12.6246,-23.0076,31.5606,-0.676261,-2.73006,1,171.588,31.7103,8.86841,-168.399,32.927,-2.33461,0.272703,-1,87.82253394313956
149182,206645660,156.231,-37.9348,-24.9206,149.493,45.3882,1.90743,-2.56036,-1,68.4356,39.4302,0.317326,55.9338,39.4315,1.14869,0.00804763,1,87.56342663829989
149181,192441814,81.9528,54.4092,-18.4786,-58.4332,57.4615,-0.893281,-0.327399,-1,139.321,9.53759,39.3611,-133.304,40.5001,-1.90679,1.33307,1,87.59948598619685
149011,632284002,39.9957,-30.1221,-12.1532,-23.3371,32.4814,-0.667736,-2.7581,-1,48.4103,27.612,15.5934,36.5784,31.7108,0.98586,0.514086,1,87.30494391648162
149181,146556451,46.7608,30.3837,17.0358,-31.1959,34.8337,-0.805569,0.511013,1,63.535,-49.5724,-22.6878,-32.6273,54.5175,-0.567516,-2.71238,-1,87.70183195184693
149181,286538204,124.155,42.651,-17.3036,-115.308,46.0274,-1.64916,-0.385413,-1,128.394,-37.8323,17.8353,-121.39,41.8256,-1.78709,2.70106,1,87.92924213491207
148029,226580534,52.8862,46.1165,6.69272,25.0084,46.5997,0.513763,0.14412,-1,73.222,-34.1843,-1.60244,64.7327,34.2218,1.39406,-3.09475,1,87.64430803373145
147926,156213550,13.147,-3.19168,-2.04852,-12.5881,3.79253,-1.91482,-2.57098,-1,153.472,-29.8989,11.5732,150.085,32.0606,2.24794,2.77228,1,87.58303281772785
149181,706727475,93.1013,15.6136,29.0505,87.064,32.9805,1.69796,1.07763,-1,33.3672,-14.0931,-29.9659,4.09899,33.1145,0.123468,-2.01041,1,87.63812451838469
147926,256762771,18.84,18.6588,1.61666,-2.04469,18.7288,-0.108958,0.0864275,-1,162.782,-24.1928,16.415,160.135,29.236,2.40199,2.54544,1,87.39701854038448
147929,305007426,96.5238,7.01858,43.7886,85.733,44.3475,1.41336,1.41186,-1,58.6539,-8.08699,-39.5311,42.5696,40.3499,0.919743,-1.77258,1,87.17392731976628
149181,168336979,28.7032,-16.5888,-23.4221,-0.306053,28.7016,-0.0106631,-2.18704,1,119.748,-7.69404,21.6322,117.527,22.9597,2.33548,1.91252,-1,87.77327785486646
147114,601455576,42.5475,3.98787,-13.1799,-40.2576,13.77,-1.794,-1.27698,1,51.8055,27.1158,-1.85521,44.1033,27.1792,1.26095,-0.0683117,-1,87.71662544996246
147115,340973734,80.9912,8.96437,-8.31688,-80.0627,12.2283,-2.57799,-0.747948,1,23.4567,-2.0476,3.84539,23.0485,4.35657,2.36788,2.06009,-1,87.12582213509954
146511,529186518,13.3855,-0.660778,2.15641,-13.1941,2.25538,-2.46683,1.86814,1,147.336,0.296938,28.2473,144.602,28.2488,2.33549,1.56028,-1,87.40049438378655
147926,55688709,71.74,28.3305,-30.376,58.4919,41.537,1.14273,-0.820226,1,107.65,-41.4161,21.2595,97.0631,46.5539,1.481,2.66735,-1,87.91513280084375
146644,1377784837,57.7511,45.301,11.4209,-33.9495,46.7185,-0.674389,0.246964,1,42.0004,-39.9136,-2.87152,-12.7551,40.0168,-0.313578,-3.06977,-1,87.56098511292343
148031,592713681,92.1716,-17.3021,-47.4302,-77.1143,50.4875,-1.20986,-1.92059,1,55.5251,4.82642,37.0216,-41.0992,37.3349,-0.950901,1.44116,-1,87.03965799115707
