Run,Event,pt,eta,phi,Q,chiSq,dxy,iso,MET,phiMET
173389,491230760,29.6623,0.782472,-0.9497,1,1.51975,0.0833437,33.1515,45.586,-0.799503
173389,491272755,27.038,-0.80634,2.6134,-1,2.83485,-0.0766396,1.58584,2.52454,-0.418626
173389,491299733,32.0113,-1.37032,3.1381,1,1.5668,-0.0491254,21.6284,14.3951,2.71076
173389,491173490,36.3508,0.702365,1.42474,-1,0.952483,0.0549246,87.557,35.3296,-1.23668
173389,489899438,38.6737,-0.628326,2.34683,1,1.41126,-0.0828862,12.9743,29.8625,-1.0833
173389,489943242,46.3368,-1.6172,0.529842,-1,1.61567,0.00255298,0.694727,40.2584,-2.97659
173389,489990802,32.8762,0.616127,-1.59263,1,0.866689,0.0721953,0.990704,26.832,0.853988
173389,490053738,38.9455,-0.641542,-2.92202,1,0.812618,0.037617,32.6521,12.8819,-2.47362
173389,490095557,43.1928,-1.7891,2.15105,-1,1.73768,-0.0905722,30.5988,8.6988,-2.19203
173389,490110184,36.2801,-0.918117,-0.299805,1,0.975989,0.0664031,38.852,25.0392,-2.25334
173389,490128844,25.1128,0.910347,-1.38492,-1,0.668766,0.081314,0,24.1603,1.72559
173389,490079138,34.9767,-0.298462,0.0338453,1,0.922432,0.0534967,44.3522,25.8119,-0.679722
173389,490158568,25.7235,0.572532,1.93486,-1,1.31335,-0.107254,2.87897,29.8524,-0.932625
173389,490175997,58.5137,-0.639311,-2.59139,-1,1.32691,-0.000951838,0,35.6679,0.766257
173389,490193279,37.0222,0.0056675,-0.3067,-1,1.58315,0.0661373,85.6688,60.5632,-0.322901
173389,490367303,34.4355,-1.28479,-2.71093,-1,0.661379,-0.0584177,55.185,32.9049,-1.73236
173389,490437166,43.4195,1.73129,-1.45261,-1,0.777597,0.0791906,0.214531,35.432,0.301142
173389,490486932,56.6395,-0.0897982,0.19891,-1,0.567808,0.0319259,8.36233,43.8316,-2.7498
173389,490521127,32.9013,-1.24455,-1.5685,-1,0.5013,0.063366,1.49639,39.3297,1.51881
173389,490604832,42.5022,1.11677,0.138543,1,0.621696,0.0377391,3.41248,25.5264,2.48598
173389,490584012,34.6443,0.413849,2.74884,1,0.718982,-0.0656514,2.76297,34.9627,-0.174942
173389,490557241,68.7428,0.41618,0.0456155,1,15.5435,0.0813138,213.091,21.6688,-0.579655
173389,490662334,29.8,1.66506,0.95826,1,0.708196,-0.0330573,0.321338,34.0529,-2.42665
173389,490702249,58.9357,-0.0878134,2.93207,-1,35.8049,-0.0653056,94.4998,10.5681,-3.09231
173389,490868544,32.9976,1.43347,2.1602,-1,0.737384,-0.0829512,3.16724,44.4794,-1.2952
173389,490882017,28.2628,-1.13163,2.46215,1,0.971555,-0.0798409,0.852654,36.9782,-0.467124
173389,490904075,31.5577,0.655801,-0.654356,-1,0.775012,0.0763595,0.570161,42.9602,0.303106
173389,490943990,36.1126,-0.364815,2.2764,-1,1.31112,-0.0827642,43.164,11.1851,-2.46501
173389,491000149,46.7916,-0.257622,1.3089,-1,1.22049,-0.126268,79.6015,15.8695,-2.4578
173389,490977677,46.0927,1.5623,-0.824948,-1,0.896398,0.0812816,0.269419,41.5928,2.78309
173389,491034944,30.9316,0.854258,-1.73284,-1,0.532735,0.0627932,1.57408,41.8994,1.74048
173389,491027709,32.9909,2.01815,-1.2512,1,0.783907,0.0822128,0.33446,30.371,1.56045
173389,491016838,39.3829,-0.0162304,-2.01948,-1,0.589745,0.0354268,23.8751,10.9952,-1.85021
173389,491074964,35.8328,-0.715124,2.86446,1,0.873506,-0.0634358,16.4491,4.50242,2.85362
173389,491032738,51.3571,-0.0235371,1.48466,-1,0.898372,-0.0669445,1.48929,31.4452,-1.39356
173389,491114097,33.6691,-1.02016,-1.46409,-1,1.20975,0.0965705,52.9193,16.8039,-3.02652
173389,491165588,50.4793,1.29565,0.796266,1,0.844728,-0.0214354,11.3061,6.15511,-1.5782
173389,491159409,37.5219,0.332422,2.60764,1,0.832432,-0.0764926,0.232265,28.6605,-0.599046
173389,491205261,31.9046,0.195111,-1.34604,-1,1.73417,0.0801305,2.01688,46.2074,1.55191
173389,489905550,36.7778,1.35927,-0.245597,-1,0.598522,0.0580144,0.405162,42.8445,-2.78961
173389,489985615,39.8117,1.768,-1.91101,1,0.806406,0.0507827,0,21.2385,1.4179
173389,489991033,32.7981,1.87671,2.39615,-1,1.19389,-0.0886702,4.18416,47.7663,-1.01433
173389,489948723,63.8786,-0.584788,-0.830716,1,0.704384,0.0927781,57.7149,70.6539,-0.851183
173389,490041993,33.1792,1.31288,0.365676,1,0.73424,0.0188013,0.528099,57.8676,2.38414
173389,490271050,30.7421,-1.02929,2.51206,1,4.22274,-0.0813238,2.74837,11.2777,0.00289677
173389,490385738,37.55,-0.359562,-2.64317,1,0.929277,-0.00785679,2.45519,42.5181,0.690877
173389,490450748,35.7755,0.0840258,-1.93799,1,0.575038,0.0483669,1.21773,34.3425,0.901917
173389,490429205,31.4251,0.520145,-0.541314,1,0.756214,0.0760506,2.3404,41.0872,2.68543
173389,490468156,37.9419,-1.73474,-2.53603,1,1.02505,0.00182023,0.814704,36.0066,0.77514
173389,490497799,30.1923,-0.241049,-2.59147,-1,0.675144,-0.00364089,1.02238,42.9578,0.942163
173389,490510431,35.5255,-0.230475,-1.25359,1,1.24138,0.0715176,4.03853,5.87065,-0.507655
173389,490534670,31.0616,1.53438,0.806953,1,1.78064,1.36884,22.0354,16.9545,-1.38688
173389,490588090,36.9248,1.66921,2.85121,-1,0.942515,-0.0634161,4.55378,27.5644,0.0904187
173389,490638806,39.7796,-2.04142,-2.57004,1,0.939103,0.00122838,0.423327,37.0582,0.526138
173389,490781226,80.1815,-0.241498,2.49631,-1,0.553935,-0.0874827,48.4659,12.14,-1.13707
173389,490825858,39.45,0.0617642,0.440383,1,1.38109,0.00574084,17.1205,23.598,1.53453
173389,490887526,32.2037,0.888472,-0.495972,1,0.813707,0.0809611,13.833,25.0269,2.03201
173389,490895413,29.1428,1.48272,-0.149597,1,0.910778,0.0561642,13.487,23.3403,-0.687792
173389,490902791,37.0241,-1.37301,1.65738,1,0.895217,-0.0711422,23.7066,21.5434,3.05659
173389,490893158,42.3643,1.49571,-0.0705771,1,0.850661,0.049009,1.94817,26.3673,-3.13397
173389,490958329,33.9193,-2.00829,-1.77858,-1,1.22851,0.0660313,0.626332,22.2953,0.592836
173389,491009550,32.2132,-0.269257,-2.02789,1,0.96889,0.0487956,26.8862,20.795,1.45174
173389,491046835,30.7622,1.88634,1.91901,1,0.799126,-0.0797271,0.536381,33.3248,-1.33012
173389,491037724,26.0114,-1.06673,0.852054,1,1.43168,-0.0222199,4.1425,19.8312,-2.01852
173389,491072989,31.8506,1.01387,1.79666,1,1.42604,-0.0825216,0.979057,51.0862,-0.733463
173389,491168884,45.5127,-1.33976,-0.173652,1,49.3854,0.0697368,10.1912,9.64927,-2.56083
173389,491199653,32.2252,-1.35326,0.297708,1,0.632336,0.0240552,1.0453,34.3204,-2.61391
173389,489869477,50.3582,0.257248,2.57069,-1,70.7521,-0.0812418,4.73951,18.5143,0.789804
173389,489861590,36.7575,-1.32929,-0.886573,-1,0.536545,0.0917086,0.393079,41.2659,1.86178
173389,489889894,25.7126,1.11355,-1.93291,1,0.804314,0.0494626,0.747403,17.1958,1.34376
173389,489908831,30.7363,-0.624849,1.31945,-1,0.694618,-0.058648,1.09634,41.3224,-1.89094
173389,489943391,43.7346,0.662846,-3.13165,-1,0.643985,-0.0503068,44.2113,27.049,0.429438
173389,489954532,40.7178,-0.527183,1.99448,-1,0.734506,-0.0833712,1.05975,41.0292,-1.5955
173389,489974230,39.0043,0.909439,-0.300587,1,1.79279,0.0689111,0.56765,36.0088,2.83134
173389,490136308,41.6285,0.252029,2.68277,-1,1.41449,-0.0758751,1.04102,45.8653,-1.64101
173389,490191106,36.7206,-1.70014,1.93438,-1,0.593528,-0.0946091,26.5948,12.9202,0.0873103
173389,490273342,56.8858,1.53777,-0.752832,1,0.808138,0.083018,1.32231,29.413,-2.96398
173389,490311107,29.1367,1.01942,-2.01525,1,1.00244,0.048954,1.23661,33.7007,-1.98107
173389,490338450,44.4668,-1.21896,1.16205,-1,0.824824,-0.0477712,1.00813,39.0475,-1.99442
173389,490505653,34.2808,0.885937,-1.71711,-1,1.32245,0.0663805,0,30.7771,1.04873
173389,490578094,36.9231,-0.198373,-0.437774,-1,1.00632,-0.00829403,17.9601,17.8181,2.67989
173389,490577859,46.5924,0.421196,-2.57951,1,1.11644,0.0191584,98.4442,2.33508,1.68496
173389,490655129,33.3723,0.140728,-2.81025,1,0.646694,-0.0223252,2.33631,41.3555,0.422603
173389,490722878,32.0691,-1.28904,1.9518,1,7.34004,-0.0881925,36.6877,8.29491,-0.845242
173389,490785489,34.6274,0.710645,-2.33577,1,0.553466,0.0385975,39.7156,28.3591,-1.72114
173389,490825495,31.8595,-1.49295,-1.29041,-1,0.988489,0.0904149,24.5019,29.0747,-0.000738685
173389,490852084,30.8916,1.23737,2.80824,-1,0.954074,-0.0667109,3.40112,42.8736,0.249108
173389,490896358,33.7194,0.40949,0.179664,-1,1.09559,0.0295577,9.50385,8.61546,1.85114
173389,491051673,37.6672,0.166788,1.54497,-1,0.727128,-0.070853,0,29.0265,-0.854473
173389,491256971,28.9804,0.0189473,2.0239,-1,1.34348,-0.086588,1.26714,26.6166,-0.60057
173389,490013830,37.3109,-0.731336,-1.41566,1,0.856265,0.0755133,0.31593,28.9507,1.93692
173389,490022688,51.0307,-1.16333,0.6843,-1,1.11113,-0.0121264,0.315817,51.7756,-2.84973
173389,490097979,36.0064,1.57357,-0.851011,-1,0.728562,0.102494,13.1075,6.95848,-1.39505
173389,490100016,34.5794,-0.909212,0.0894347,1,1.52177,0.0461294,22.2631,13.839,0.394291
173389,490090930,26.0188,0.520075,1.19141,1,0.762334,-0.0583973,1.96531,25.2461,0.334805
173389,490296393,30.2754,0.141289,-0.984352,-1,16.8482,0.0850087,10.2025,4.97108,-2.71242
173389,490282376,44.1277,2.0425,0.478388,1,2.15076,0.0108071,0,39.4208,-2.68372
173389,490292090,31.4824,1.6672,0.538861,-1,0.71865,0.000926007,12.1238,9.67599,-1.31153
173389,490309498,47.2113,1.7792,1.94374,1,0.955152,-0.0855611,0,46.575,-0.75228
173389,490432848,28.0307,-1.68548,1.19269,1,1.01454,-0.0482473,0.915659,17.6929,-1.42797
173389,490450810,39.0275,1.18507,1.3982,1,0.636611,-0.112073,18.0573,23.6872,-1.1019
173389,490488898,31.13,0.0163726,0.618383,-1,11.8276,-0.00612717,10.835,11.9334,2.30421
173389,490490532,35.5616,-1.6741,2.2302,1,0.821548,-0.0860506,0.268135,38.1401,-0.809601
173389,490525306,37.8984,-1.83044,-0.858333,1,0.845222,0.0900728,0.994364,57.5278,2.13635
173389,490536093,30.1477,0.0098677,1.8617,-1,1.0717,-0.0829469,0.486407,43.0911,-1.26365
173389,490614636,33.9824,-1.14531,-2.66447,1,1.52527,-0.0102577,1.66806,54.2718,0.145664
173389,490820898,44.814,-1.36795,2.57283,-1,0.72896,-0.0775704,1.69661,18.8157,-0.715865
173389,490784732,26.035,1.94483,-0.430716,-1,0.808343,0.0714745,5.5109,3.46224,2.8641
173389,490909541,35.324,0.385603,0.975329,-1,18.6027,-0.0331822,13.3496,19.657,-2.17613
173389,490949824,31.7896,1.56278,1.6833,-1,1.08904,-0.0716631,49.8971,5.5522,1.78142
173389,490996276,27.8359,-1.2695,2.63292,1,0.521297,-0.0816395,1.62861,36.6597,-0.230275
173389,491026035,30.4164,-0.69915,0.59206,-1,0.81208,-0.0165328,29.9815,22.4344,0.105625
173389,491191821,25.2984,-1.47016,2.15948,1,0.704226,-0.0829557,0,20.5532,-1.56527
173389,489862907,40.1818,0.614795,-0.857067,-1,1.00176,0.0864665,0.177803,16.8656,2.0736
173389,490027724,51.3763,1.53072,1.62832,1,0.567728,-0.0792524,0,29.0802,-1.09062
