Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
149181,391911945,2.0039,-0.99418,1.72847,0.199038,1.99399,0.0996537,2.09276,1,66.6416,14.422,-15.0005,63.3095,20.8088,1.83178,-0.805057,-1
149181,392827593,2.78118,-2.47877,1.21681,-0.331736,2.76132,-0.11985,2.68526,1,34.3721,4.8512,-24.9754,-23.1113,25.4422,-0.815088,-1.37895,1
149181,398660210,2.9498,1.31272,2.24309,1.39522,2.59898,0.513913,1.04131,1,32.305,-2.45533,19.6218,25.5455,19.7748,1.07345,1.69528,1
149181,399152027,38.2486,-4.87501,-3.70133,-37.7557,6.12091,-2.51908,-2.4922,1,195.151,25.5575,23.1984,-192.075,34.516,-2.41759,0.737051,1
149181,399596547,42.7108,11.8928,30.3569,-27.5905,32.6033,-0.768376,1.19741,1,12.5022,0.358966,2.47264,12.25,2.49856,2.2932,1.42663,-1
149181,399638412,50.1378,-28.9122,-1.25014,40.9429,28.9392,1.14655,-3.09838,-1,45.3103,16.1708,-27.7902,-31.9255,32.1526,-0.876371,-1.0438,1
149181,399575917,28.8088,-24.1252,-15.2922,3.75115,28.5636,0.130952,-2.57664,-1,139.747,27.6365,14.3005,136.239,31.1172,2.18259,0.477511,1
149181,398586990,2.41123,-2.04619,1.15303,-0.545601,2.34869,-0.23026,2.62844,-1,34.8927,-14.7506,23.6713,20.9664,27.891,0.694528,2.12806,-1
149181,399317310,15.3249,0.0319589,2.67272,15.0899,2.67291,2.43176,1.55884,-1,5.78144,2.68609,2.90495,4.2156,3.95649,0.926933,0.824522,-1
149181,398616961,36.4534,-11.8642,-28.5047,19.3797,30.8752,0.592412,-1.96521,-1,60.3699,23.1313,24.1612,-50.2563,33.4488,-1.19614,0.807171,1
149181,398737385,26.8982,4.06341,-2.53856,26.468,4.7912,2.4104,-0.55841,1,90.3274,-11.2187,-14.0967,88.5125,18.016,2.29523,-2.24299,-1
149181,398942985,172.722,-21.5773,17.9913,-170.422,28.0939,-2.5026,2.44658,1,2.29273,1.16657,-0.724204,-1.8361,1.37308,-1.10094,-0.555574,-1
149181,399090969,32.8268,-8.71955,-1.86581,-31.5926,8.91694,-1.97746,-2.93079,-1,202.307,-31.7294,-11.9951,-199.443,33.9211,-2.47179,-2.78016,1
149181,399745890,22.9502,21.0049,-8.75953,2.96249,22.7582,0.129807,-0.395095,-1,14.9597,-3.59011,-2.52412,14.3014,4.38863,1.89724,-2.5288,1
149181,400561963,14.301,-3.40659,-0.724364,13.8705,3.48275,2.09049,-2.93208,1,124.159,-24.2993,14.3844,-120.905,28.2377,-2.16086,2.6071,-1
149181,400725387,48.4366,0.361831,41.3177,25.275,41.3192,0.578832,1.56204,1,110.037,1.02094,-43.6413,101.008,43.6533,1.57579,-1.54741,-1
