Year,Mass,Mint
1981,3.0741,P
1978,3.0693,D
1979,3.0876,P
1979,3.0799,P
1988,2.5175,P
1961,3.1331,D
1978,3.1188,D
1973,3.0488,P
1975,3.091,P
1975,3.1272,P
1978,3.1052,D
1978,3.0736,P
1981,3.0914,P
1972,3.0941,P
1974,3.1157,P
1995,2.4817,D
1973,3.0524,P
1975,3.1095,P
1975,3.0946,P
1970,3.1062,D
1970,3.0812,D
1980,3.0644,P
1977,3.071,D
1978,3.0497,P
1979,3.0699,P
1974,3.072,D
1979,3.1052,D
1996,2.4853,P
1974,3.1284,D
1974,3.0459,D
1970,3.0718,P
1964,3.1013,P
1979,3.0987,P
1982,2.5354,P
1968,3.0834,D
1962,3.1036,D
1996,2.502,P
1976,3.0742,D
1976,3.0926,P
1979,3.0855,P
1980,3.0947,P
1969,3.0917,D
1975,3.0924,P
1982,3.0689,P
1978,3.1104,D
1968,3.0736,D
1973,3.1331,D
1978,3.122,D
1982,3.1216,P
1963,3.0935,D
1981,3.077,P
1977,3.1102,P
1974,3.0982,P
1974,3.0849,D
1980,3.0841,P
1996,2.5026,P
1976,3.0662,P
1968,3.0717,P
1973,3.1334,P
1974,3.0675,P
1970,3.1092,D
1980,3.094,P
1973,3.0945,D
1982,3.0528,P
1981,3.0492,P
1970,3.1356,D
1982,2.5001,P
1963,3.04,D
1981,3.1616,P
1976,3.0914,D
1996,2.5029,P
1974,3.0808,P
1978,3.1288,P
1963,3.1054,D
1969,3.1204,D
1996,2.5116,D
1973,3.0627,P
1976,3.1352,D
1977,3.1084,D
1981,3.0886,D
1969,3.0867,D
1978,3.1506,D
1980,3.0681,P
1994,2.5088,P
1971,3.0107,D
1977,3.0878,P
1974,3.0521,D
1982,2.5444,P
1970,3.0471,D
1975,3.0734,D
1977,3.0865,P
1979,3.0574,P
1997,2.4995,P
1982,2.5001,P
1981,3.0854,D
1968,3.0587,P
1973,3.0901,D
1982,3.1213,D
1959,3.1177,D
1974,3.1178,D
1976,3.0957,P
1980,3.1314,P
1991,2.5069,P
1977,3.0794,P
1978,3.0834,P
1992,2.5187,D
1978,3.1514,D
1976,3.1192,P
1975,3.0983,P
1995,2.5003,P
1980,3.054,P
1971,3.0652,D
1977,3.1367,P
1979,2.9773,P
1982,3.1068,P
1991,2.4852,P
1969,3.1385,D
1981,3.0934,P
1964,3.0139,P
1985,2.5138,D
1991,2.5043,P
1994,2.5047,D
1984,2.4895,D
1993,2.4733,D
1998,2.5066,D
1988,2.4876,D
1984,2.4789,D
1983,2.5891,D
1986,2.4908,D
1996,2.4847,P
1994,2.4896,D
1985,2.5503,P
1997,2.5129,P
1993,2.4906,P
1997,2.5094,P
1987,2.4756,D
1996,2.5179,D
1996,2.5139,P
1976,3.12,P
1975,3.0952,P
1998,2.5081,D
1978,3.1229,D
1975,3.1417,P
1994,2.5102,P
1967,3.0377,P
1970,3.1096,D
1980,3.0767,P
1970,3.0722,P
1980,3.1325,D
1964,3.0143,P
1982,3.1619,D
1974,3.0853,D
1976,3.1358,D
1993,2.5316,D
1995,2.4706,P
1977,3.0868,P
1984,2.5796,P
1992,2.5062,P
1981,3.1619,P
1990,2.5055,P
1973,3.1331,D
1978,3.1057,D
1980,3.0546,P
1974,3.1287,D
1982,2.5381,P
1999,2.504,P
1993,2.5006,P
1996,2.5136,P
1990,2.5179,P
1985,2.5309,P
1977,3.1085,D
1974,3.0813,P
1976,3.0926,P
1971,3.0659,D
1995,2.5041,P
1975,3.0989,P
1989,2.5023,P
1983,2.542,D
1992,2.4687,P
1972,3.0996,D
1977,3.0714,D
1980,3.1315,P
1997,2.4995,P
1980,3.0648,P
1973,3.1342,P
1997,2.515,P
1973,3.0625,P
1961,3.1336,D
1972,3.1107,D
1999,2.512,D
1993,2.4968,D
1982,3.0534,P
1975,3.1064,P
1992,2.4939,P
1996,2.4874,P
1996,2.4919,P
1999,2.5193,D
2000,2.5095,P
1996,2.4928,P
2001,2.543,P
1995,2.5016,P
1997,2.4875,P
1995,2.4972,P
2000,2.5019,D
1993,2.4771,D
1994,2.4973,D
1994,2.479,D
1990,2.4819,P
1986,2.4203,D
1981,3.1506,P
2000,2.5173,P
2000,2.4972,P
2001,2.507,P
2000,2.4799,P
2001,2.4982,D
1982,2.5346,P
1981,3.1104,D
2014,2.4893,P
1971,3.1404,P
1976,3.0972,D
2001,2.4774,D
2000,2.4912,P
2001,2.5198,D
1984,2.4955,P
2000,2.5227,P
2001,2.4974,D
1983,2.5013,P
1982,2.5289,P
1982,3.1009,P
1973,3.0685,P
2014,2.5131,D
2014,2.5113,P
1975,3.069,D
1979,3.0696,D
1993,2.5237,P
2005,2.5072,P
2000,2.4992,D
2001,2.4933,D
1989,2.4978,D
1985,2.5345,D
1964,3.0505,P
2014,2.5148,P
2000,2.4987,D
2001,2.5039,D
1960,3.1004,P
1981,3.123,D
1979,3.0366,P
1971,3.1351,D
1975,3.1069,P
2013,2.5018,P
2012,2.482,P
2012,2.4875,P
1978,3.0958,D
1975,3.0945,P
1975,3.1144,D
2011,2.4929,P
2014,2.5145,P
1951,3.1099,D
2012,2.5205,P
1975,3.1007,D
2013,2.4943,P
2000,2.5003,D
2013,2.5004,P
2000,2.5427,P
2012,2.5138,P
1979,3.0984,P
1982,3.0768,P
2013,2.5077,P
2013,2.4996,D
1980,3.0831,P
1988,2.4992,P
2012,2.5038,P
2013,2.5111,P
1975,3.0861,P
1978,3.1177,P
2013,2.486,D
1982,2.5433,P
1978,3.1018,D
1985,2.5196,D
2011,2.476,P
1969,3.1004,D
2009,2.4921,P
1978,3.1206,D
2013,2.4898,D
2011,2.5033,P
2010,2.484,P
2013,2.5023,P
1973,3.1353,D
2011,2.4914,P
2002,2.4967,D
1966,3.0686,P
1969,3.1039,D
2014,2.5095,P
1978,3.0591,P
2006,2.4949,P
2015,2.4938,D
1985,2.5295,P
1979,3.0637,P
2015,2.4922,P
2015,2.4974,P
1969,3.0824,P
2015,2.4964,D
1984,2.5089,P
2016,2.4959,D
2007,2.5027,P
1971,3.0443,P
2014,2.4977,P
1996,2.4808,P
2000,2.4903,P
1969,3.0661,D
1998,2.5086,D
1964,3.1029,D
1998,2.5009,P
1980,3.1073,D
1991,2.5161,P
1980,3.1054,D
1980,3.0749,D
1970,3.0709,P
2011,2.521,P
2006,2.5039,P
1982,3.0805,P
2014,2.4968,P
2015,2.5051,D
2008,2.5175,P
1994,2.5172,D
1982,3.1124,P
2015,2.5027,P
1978,3.0885,P
1984,2.5181,D
1978,3.0281,P
1975,3.0955,P
1992,2.4868,P
2014,2.5027,P
2007,2.4971,P
1988,2.4866,D
2012,2.4954,P
1988,2.4651,P
2015,2.4899,P
1973,3.1233,D
1972,3.0607,D
1974,3.1113,P
1979,3.0909,P
1962,3.087,D
1965,3.0743,P
1971,3.1,D
1966,3.0403,P
1973,3.1067,P
1974,3.1262,D
1960,3.0308,D
1977,3.0707,P
1960,3.1616,D
1986,2.5184,D
1979,3.0991,P
1964,3.1214,D
1979,3.0609,P
1979,3.0795,D
2000,2.5164,P
2001,2.501,D
2001,2.526,D
2009,2.492,P
2018,2.4987,P
2015,2.5104,P
2017,2.4716,D
1987,2.4846,P
1993,2.525,D
2014,2.518,P
2000,2.5071,P
2015,2.5122,P
2017,2.4702,P
2016,2.492,P
2001,2.5071,P
2015,2.5002,D
2015,2.4813,D
2002,2.4899,D
2018,2.4998,P
2005,2.516,P
2016,2.4778,D
2000,2.4949,P
2001,2.5286,P
2000,2.4647,D
2000,2.5074,D
2017,2.539,P
2000,2.4897,P
2016,2.5195,D
1993,2.5146,P
1996,2.5233,D
1975,3.0237,D
2011,2.4922,P
2000,2.4988,P
2016,2.5177,P
2011,2.4951,P
1975,3.0492,D
2018,2.494,P
1985,2.5484,P
1990,2.5331,D
2016,2.4899,P
2016,2.5137,P
2017,2.5221,P
2019,2.504,D
1980,3.0907,P
1971,3.0689,D
2013,2.5028,D
1999,2.4862,D
1988,2.4729,P
2018,2.5036,P
2005,2.4892,D
2019,2.5169,P
1993,2.4859,D
1999,2.5193,D
1996,2.5157,D
2015,2.497,P
1955,3.1272,P
1997,2.5039,D
2018,2.5074,P
1971,3.114,D
2007,2.5361,P
1968,3.0418,D
2000,2.5249,D
2018,2.5019,P
2012,2.4958,P
1952,3.0054,D
2001,2.4936,P
2008,2.5061,D
1989,2.4832,D
2010,2.5034,P
2012,2.4966,P
2006,2.5041,P
1994,2.4832,D
1982,3.0604,D
2000,2.5137,P
1984,2.4995,P
2000,2.5046,P
2000,2.4872,D
2001,2.5016,D
2001,2.5246,P
2017,2.5237,P
2000,2.492,P
2001,2.5169,P
1978,3.114,D
2001,2.5193,P
2000,2.5216,D
1984,2.5445,P
