Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,mass
147754,562484302,65.7886,14.5888,12.7168,-62.8776,19.3533,-1.89436,0.71695,1,23.6793,-18.4551,-14.6718,2.20378,23.5766,0.0933378,-2.46991,-1,65.60809703327479
147754,562181051,3.54122,-1.49605,1.90003,2.58688,2.41833,0.929808,2.2378,1,34.0971,-6.39046,-15.0649,29.9136,16.3643,1.36395,-1.97198,-1,11.17367844959753
147754,562897035,9.566,6.33519,-5.47847,-4.6217,8.37545,-0.52707,-0.713005,1,4.61344,-1.99267,-2.28727,3.47584,3.03354,0.98081,-2.28747,-1,10.980861800241362
147754,563616454,8.59918,-6.23374,-1.7646,5.65442,6.47868,0.788492,-2.86574,1,23.1073,-9.88188,8.85684,18.917,13.2701,1.15274,2.41084,-1,9.567294130108035
147754,563917758,81.658,7.92101,-24.8472,-77.3816,26.0792,-1.80801,-1.26219,-1,7.89721,-1.67423,4.27603,-6.42483,4.59211,-1.13746,1.94399,1,23.117582772900352
147754,563087485,6.47355,-4.80774,3.44358,-2.63329,5.91377,-0.431742,2.52004,1,17.0505,5.06168,-10.0708,-12.7936,11.2712,-0.973733,-1.10506,-1,16.47444878830245
147754,563699885,52.5691,34.6466,11.7963,-37.7356,36.5997,-0.903151,0.328165,-1,48.3687,-29.724,-15.399,34.9126,33.476,0.911396,-2.6636,1,100.71374633976237
147754,563964230,4.39871,3.75834,-2.02251,-1.06439,4.26798,-0.246875,-0.493691,1,34.3009,-3.6153,-18.5499,-28.6249,18.8989,-1.20285,-1.76328,-1,13.891053228546054
147754,564789551,17.5473,-15.972,5.88656,4.26056,17.0222,0.247752,2.78848,1,3.8219,2.29492,2.34768,-1.9567,3.28302,-0.565397,0.796761,-1,14.01676539135902
147754,564221161,85.9972,40.7197,-5.01098,-75.5798,41.0269,-1.37075,-0.122445,1,98.3229,-39.8745,0.1287,-89.8743,39.8747,-1.55175,3.13837,-1,81.08198959178053
147754,564685954,13.3925,4.12561,12.6857,-1.18786,13.3397,-0.0889296,1.25637,-1,16.1913,-4.03576,0.836383,-15.658,4.12152,-2.04479,2.93724,1,20.212951828444325
147754,564734554,131.508,23.6659,-33.6002,-124.921,41.0981,-1.83089,-0.957165,1,9.22594,-2.11056,2.89173,-8.50303,3.58003,-1.59983,2.20128,-1,24.421860580762477
147754,564020459,14.7063,1.80344,-14.3136,-2.85344,14.4268,-0.19652,-1.44546,-1,6.31544,2.96437,-0.302872,-5.56826,2.9798,-1.38331,-0.101818,1,11.602381471694336
147754,564856228,37.8077,0.179527,29.8325,23.2253,29.833,0.7158,1.56478,-1,4.6806,2.75042,-2.04024,-3.19071,3.42453,-0.832261,-0.638228,1,24.95749456759413
147754,564532061,38.2917,1.93829,-17.9623,-33.7617,18.0666,-1.38335,-1.4633,1,20.2854,-0.950087,7.92844,-18.6477,7.98516,-1.58426,1.69006,-1,24.142836295290405
147754,224427791,94.1031,-36.3338,-0.370494,86.805,36.3357,1.60519,-3.1314,-1,3.91715,2.59507,-0.461713,2.89767,2.63582,0.949905,-0.176077,1,20.552516498712496
147754,224530623,45.3155,-13.1578,2.01825,-43.3162,13.3117,-1.89585,2.98939,1,12.1662,-2.01611,0.646769,-11.9806,2.11731,-2.434,2.83116,-1,3.009962406997635
147754,224945351,18.0871,-8.82173,-15.4109,3.43853,17.7572,0.192451,-2.0907,1,19.2965,1.96234,2.71265,-19.0038,3.34802,-2.43709,0.944537,-1,30.77270112538872
147754,224590658,56.7556,20.3936,-10.1218,-51.9889,22.7673,-1.56368,-0.460703,-1,28.46,-4.81085,1.51562,28.0095,5.04395,2.41551,2.83639,1,79.8110169540841
147754,225077010,3.67038,0.686799,-2.37655,2.71146,2.4738,0.947702,-1.28947,-1,28.5034,17.5607,5.38024,21.7973,18.3664,1.0075,0.2973,1,9.616622555746847
147754,224653923,8.77551,1.53507,-2.26867,8.33704,2.73922,1.83214,-0.97592,-1,81.8402,15.3253,-3.34827,80.3227,15.6868,2.33578,-0.2151,1,5.902144562444952
147754,225122916,6.58753,-3.98001,-2.50435,4.61338,4.70237,0.867929,-2.57996,-1,29.3215,-8.61368,-18.7152,20.8638,20.6023,0.890322,-2.00214,1,5.612611225615051
147754,226450567,16.8018,-12.1839,2.80949,11.2231,12.5037,0.807069,2.91496,1,15.5052,-0.54981,2.58733,15.2779,2.64511,2.45425,1.78018,-1,12.25423239225942
147754,225814433,4.41287,3.99266,0.198479,1.86887,3.99759,0.451955,0.0496702,1,20.2293,-19.3344,2.84979,-5.22353,19.5433,-0.264195,2.99525,-1,18.743582060783872
147754,225831305,48.2219,-19.3972,2.06511,44.1002,19.5068,1.55452,3.03553,-1,2.79846,-1.64594,0.104253,2.26084,1.64924,1.12091,3.07834,1,2.4922334887867525
147754,225839841,2.85981,-0.531816,-2.42075,-1.42676,2.47848,-0.547843,-1.78705,-1,91.706,7.48111,17.1316,89.7805,18.6938,2.27299,1.15907,1,29.522995345113006
147754,225321691,25.3527,-14.0004,-7.83509,-19.6306,16.0437,-1.03098,-2.63138,-1,2.08239,-0.137609,1.96363,0.679362,1.96845,0.338617,1.64076,1,12.616552641659885
147754,225681443,37.6618,-32.9328,-9.28059,15.739,34.2154,0.445149,-2.86691,1,28.4524,18.1433,4.85749,-21.3721,18.7823,-0.975591,0.261594,-1,64.03953858492423
147754,226072939,6.22999,-5.12638,-2.39526,2.60687,5.65836,0.445797,-2.70449,-1,17.109,14.2249,-3.31715,-8.90877,14.6065,-0.57731,-0.229099,1,19.73777637961278
147754,225463548,38.5701,-22.9751,2.17322,-30.9043,23.0777,-1.10209,3.04728,-1,13.4939,11.5762,-2.75617,6.36254,11.8998,0.512012,-0.233738,1,44.47569403831602
147754,225669556,26.0518,3.49526,-3.77517,-25.5388,5.14478,-2.30536,-0.82388,1,182.038,-37.1132,11.9767,-177.811,38.9978,-2.22218,2.82943,-1,27.437068353151385
147754,225587149,68.4228,-13.6996,-30.2871,-59.8054,33.2414,-1.35002,-1.99558,1,12.1017,3.28542,-0.838271,-11.617,3.39068,-1.94523,-0.249819,-1,17.48690977645731
147754,227191590,32.4215,10.6015,10.703,28.7091,15.0647,1.40066,0.790164,-1,7.50787,-0.608861,-2.48264,7.05931,2.55621,1.74024,-1.8113,1,12.146945375479326
147754,227185607,16.126,4.14413,11.8767,10.0904,12.579,0.734359,1.23508,-1,13.6376,1.98994,2.49299,-13.2593,3.1898,-2.13205,0.897145,1,25.133944224673538
147754,227470056,33.7075,-6.59291,-8.09124,-32.051,10.4372,-1.84061,-2.25451,1,87.5969,13.3627,15.8056,-85.1166,20.6973,-2.12163,0.868952,-1,29.684500378923364
147754,227541312,50.4711,-0.132257,14.5425,-48.3304,14.5431,-1.916,1.57989,1,67.4145,10.7805,-8.98134,-65.9381,14.0315,-2.25169,-0.694607,-1,26.37068477642082
147754,227659297,20.3419,-0.630142,14.1161,-14.6332,14.1301,-0.906328,1.61541,-1,18.4729,-6.40914,-6.53825,16.0444,9.15564,1.32709,-2.34622,1,37.38478182231342
147754,227459210,79.7609,-27.1736,3.45238,74.9098,27.392,1.73105,3.01522,1,22.5964,7.87323,-0.604408,-21.1718,7.8964,-1.7125,-0.0766172,-1,84.9036453436501
147754,227486507,24.6047,22.5253,-2.9302,9.45593,22.7151,0.405112,-0.129359,-1,6.10499,-4.48996,0.664601,-4.08283,4.53888,-0.808513,2.99464,1,24.162127980409736
147754,226634044,15.2545,9.51459,11.3196,-3.7471,14.7871,-0.250766,0.871817,1,9.6414,-4.67211,-2.56088,8.03554,5.32792,1.1993,-2.64019,-1,22.38862056017744
147754,226966084,22.6494,3.71274,-2.98988,-22.1421,4.76695,-2.24031,-0.677965,-1,52.8743,6.68469,18.2767,-49.1626,19.4608,-1.65693,1.22016,1,16.663601149892507
147754,228126752,8.5362,-2.76578,-0.535446,-8.05795,2.81713,-1.77333,-2.95036,1,79.9067,4.89035,27.7601,-74.77,28.1876,-1.70246,1.39642,-1,14.696315051838106
147754,228693281,4.12139,0.496328,0.591284,-4.04844,0.771983,-2.35924,0.872485,-1,32.8724,-1.33362,-17.3309,-27.9008,17.3821,-1.25171,-1.6476,1,8.17745438787523
147754,228766826,2.95129,-0.440554,-2.72728,-1.03823,2.76264,-0.367485,-1.73095,-1,85.5251,24.8596,17.3628,79.9693,30.3227,1.69704,0.609674,1,28.061887371783858
147754,227789699,74.2633,-2.19693,-18.8526,-71.7969,18.9802,-2.04062,-1.68681,1,52.661,-2.12442,10.4616,-51.5677,10.6751,-2.27867,1.77114,-1,28.31731714883142
147754,227859867,10.2088,-6.96131,-0.0323805,7.46723,6.96139,0.931833,-3.13694,1,82.9551,0.0499765,14.5877,-81.6623,14.5878,-2.42344,1.56737,-1,53.990554677737805
147754,228493651,4.03843,1.91816,-1.90001,-3.00326,2.69988,-0.958639,-0.780643,1,62.7461,-11.7937,4.65233,-61.4519,12.6781,-2.282,2.76586,-1,14.163482658629531
147754,228611043,2.77511,2.04336,-1.42389,1.22413,2.49054,0.473606,-0.608599,-1,24.4926,11.307,-14.6418,16.0517,18.4995,0.784652,-0.913213,1,2.955537032334391
147754,228132836,8.60874,2.37875,3.84862,7.32394,4.52441,1.25888,1.01719,1,23.2682,4.3727,-17.8387,14.2852,18.3668,0.715219,-1.33041,-1,17.546508390990496
147754,231795870,19.0129,15.6485,10.009,-4.05396,18.5757,-0.216544,0.569037,-1,14.9259,-0.31597,-3.35972,14.5395,3.37454,2.16696,-1.66457,1,27.615144316644443
147754,231801302,16.0412,1.5509,-4.20467,-15.4025,4.48158,-1.94822,-1.21743,1,48.1046,8.89824,-11.2917,-45.9061,14.3764,-1.87782,-0.903393,-1,2.5723945582859993
