#[event number] [num events] [num hit detectors] [ID1.chan] [JD1] [Rising edge 1], [ID2.chan] [JD2] [Rising edge 2], ...
#gatewidth=1.15740740740741e-11 (1000 nanoseconds), detector coincidence=2, channel coincidence=2, event coincidence=2
Evnt	#HitDAQ1	#HitDAQ2	MinFracDay	JulDay	SSDB	eventDateTime	6119.1FracDay	6119.1nsAfter1stHit	6119.2FracDay	6119.2nsAfter1stHit	6119.3FracDay	6119.3nsAfter1stHit	6119.4FracDay	6119.4nsAfter1stHit	6148.1FracDay	6148.1nsAfter1stHit	6148.2FracDay	6148.2nsAfter1stHit	6148.3FracDay	6148.3nsAfter1stHit	6148.4FracDay	6148.4nsAfter1stHit
91	3	3	0.8636232999802088	2457067	74617.05311829004	Feb 14, 2015 08:43:37 UTC	0.8636232999802088	0.0	0.8636232999803970	16.259	0.8636232999802957	7.511	-1	-1	0.8636232999832518	262.916	0.8636232999831788	256.604	-1	-1	0.8636232999830606	246.398	
92	4	3	0.8731920502171012	2457067	75443.79313875755	Feb 14, 2015 08:57:23 UTC	0.8731920502171447	3.76	0.8731920502171158	1.257	0.8731920502171302	2.504	0.8731920502171012	0.0	0.8731920502204912	292.892	0.8731920502203605	281.602	-1	-1	0.8731920502204016	285.151	
93	4	2	0.876737819948308	2457067	75750.14764353381	Feb 14, 2015 09:02:30 UTC	0.8767378199483224	1.247	0.8767378199483224	1.247	0.8767378199483080	0.0	0.8767378199483080	0.0	0.8767378199517704	299.146	0.8767378199516394	287.827	-1	-1	-1	-1	
94	4	3	0.877250832518823	2457067	75794.4719296263	Feb 14, 2015 09:03:14 UTC	0.8772508325188809	5.007	0.8772508325188519	2.504	0.8772508325188664	3.751	0.8772508325188230	0.0	0.8772508325222563	296.643	0.8772508325221545	287.847	0.8772508325220942	282.638	-1	-1	
95	4	2	0.8799355404970057	2457067	76026.4306989413	Feb 14, 2015 09:07:06 UTC	0.8799355404970347	2.504	0.8799355404970203	1.257	0.8799355404970057	0.0	0.8799355404970057	0.0	0.8799355405004536	297.899	-1	-1	-1	-1	0.8799355405003784	291.396	
96	4	2	0.881106360615452	2457067	76127.58955717506	Feb 14, 2015 09:08:47 UTC	0.8811063606154665	1.257	0.8811063606154520	0.0	0.8811063606154810	2.504	0.8811063606154810	2.504	0.8811063606184657	260.384	-1	-1	-1	-1	0.8811063606182604	242.648	
97	4	2	0.8868818479370956	2457067	76626.59166176505	Feb 14, 2015 09:17:06 UTC	0.8868818479371389	3.741	0.8868818479371101	1.257	0.8868818479371389	3.741	0.8868818479370956	0.0	-1	-1	-1	-1	0.8868818479400052	251.396	0.8868818479400342	253.899	
98	3	2	0.8895594992191124	2457067	76857.94073253131	Feb 14, 2015 09:20:57 UTC	0.8895594992191702	4.998	0.8895594992191268	1.247	0.8895594992191124	0.0	-1	-1	-1	-1	0.8895594992223860	282.839	0.8895594992225282	295.127	-1	-1	
99	4	2	0.8915888432701684	2457067	77033.27605854256	Feb 14, 2015 09:23:53 UTC	0.8915888432701974	2.504	0.8915888432701684	0.0	0.8915888432701974	2.504	0.8915888432701830	1.257	0.8915888432732257	264.153	0.8915888432731384	256.604	-1	-1	-1	-1	
100	4	2	0.892075134428791	2457067	77075.29161464755	Feb 14, 2015 09:24:35 UTC	0.8920751344288055	1.247	0.8920751344287911	0.0	0.8920751344287911	0.0	0.8920751344287911	0.0	0.8920751344317904	259.146	-1	-1	0.8920751344316283	245.142	-1	-1	
