"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.059589292E0,-2.370193481E1,-9.930236816E0,-3.656420135E1,4.469152199E1
1.069604292E0,-2.366156006E1,-9.823516846E0,-3.691780090E1,4.493656564E1
1.079620292E0,-2.348301697E1,-9.902343750E0,-3.678848267E1,4.475378145E1
1.089635292E0,-2.348707581E1,-9.814437866E0,-3.681262207E1,4.475639691E1
1.099650292E0,-2.345703125E1,-9.592819214E0,-3.679097748E1,4.467471902E1
1.109665292E0,-2.353633118E1,-9.631851196E0,-3.666292572E1,4.461952000E1
1.119680292E0,-2.356901550E1,-9.699279785E0,-3.656175995E1,4.456833866E1
1.129695292E0,-2.346672058E1,-9.637771606E0,-3.643951416E1,4.440058343E1
1.139710292E0,-2.347866821E1,-9.751358032E0,-3.679290009E1,4.472196710E1
1.149725292E0,-2.342556763E1,-9.551635742E0,-3.689699554E1,4.473677731E1
1.159740292E0,-2.335714722E1,-9.674865723E0,-3.655486298E1,4.444566751E1
1.169755292E0,-2.344152832E1,-9.783737183E0,-3.676815796E1,4.468919560E1
1.179770292E0,-2.344638062E1,-9.781066895E0,-3.671111298E1,4.464423646E1
1.189786292E0,-2.341827393E1,-9.764480591E0,-3.659867859E1,4.453340218E1
1.199801292E0,-2.335768127E1,-9.604019165E0,-3.671530151E1,4.456267299E1
1.209816292E0,-2.347134399E1,-9.586471558E0,-3.662580872E1,4.454496930E1
1.219831292E0,-2.351203918E1,-9.630142212E0,-3.664484406E1,4.459148149E1
1.229846292E0,-2.335859680E1,-9.623260498E0,-3.647299194E1,4.436789750E1
1.239861292E0,-2.336210632E1,-9.673904419E0,-3.668107605E1,4.455192228E1
1.249876292E0,-2.339025879E1,-9.570297241E0,-3.667749023E1,4.454136376E1
1.259891292E0,-2.343135071E1,-9.600479126E0,-3.663774872E1,4.453674917E1
1.269906292E0,-2.351464844E1,-9.639266968E0,-3.681581116E1,4.473542344E1
1.279921292E0,-2.351884460E1,-9.783935547E0,-3.677921295E1,4.473893105E1
1.289936292E0,-2.353218079E1,-9.786239624E0,-3.648722076E1,4.450675564E1
1.299952292E0,-2.362408447E1,-9.676574707E0,-3.689478302E1,4.486600583E1
1.309967292E0,-2.345660400E1,-9.770568848E0,-3.678648376E1,4.470930188E1
1.319982292E0,-2.353439331E1,-9.743499756E0,-3.694705200E1,4.487636469E1
1.329997292E0,-2.345727539E1,-9.752456665E0,-3.693898010E1,4.483126622E1
1.340012292E0,-2.340655518E1,-9.671463013E0,-3.688420868E1,4.474202579E1
1.350027292E0,-2.352894592E1,-9.569015503E0,-3.706250000E1,4.493112796E1
1.360042292E0,-2.339460754E1,-9.527145386E0,-3.678374481E1,4.462194576E1
1.370057292E0,-2.356622314E1,-9.642959595E0,-3.661917877E1,4.460176899E1
1.380072292E0,-2.361219788E1,-9.821136475E0,-3.670645142E1,4.473649724E1
1.390087292E0,-2.356262207E1,-9.879989624E0,-3.690225983E1,4.488416351E1
1.400103292E0,-2.344207764E1,-9.823806763E0,-3.683969116E1,4.475713382E1
1.410118292E0,-2.335069275E1,-9.604095459E0,-3.697602844E1,4.477410168E1
1.420133292E0,-2.350479126E1,-9.655303955E0,-3.690729523E1,4.480902306E1
1.430148292E0,-2.339419556E1,-9.557022095E0,-3.676721954E1,4.461449865E1
1.440163292E0,-2.337332153E1,-9.550262451E0,-3.670766449E1,4.455302801E1
1.450178292E0,-2.347518921E1,-9.616180420E0,-3.683289337E1,4.472379085E1
1.460193292E0,-2.361584473E1,-9.645599365E0,-3.682955170E1,4.480135698E1
1.470208292E0,-2.348120117E1,-9.579116821E0,-3.680947876E1,4.469970933E1
1.480223292E0,-2.357557678E1,-9.629333496E0,-3.705911255E1,4.496565030E1
1.490238292E0,-2.350578308E1,-9.558395386E0,-3.702324677E1,4.488435765E1
1.500253292E0,-2.347148132E1,-9.612533569E0,-3.683509064E1,4.472287043E1
1.510269292E0,-2.348089600E1,-9.469329834E0,-3.684571075E1,4.470600726E1
1.520284292E0,-2.330101013E1,-9.541030884E0,-3.688817596E1,4.466213015E1
1.530299292E0,-2.340834045E1,-9.391921997E0,-3.699482727E1,4.477472330E1
1.540314292E0,-2.331669617E1,-9.390472412E0,-3.688324738E1,4.463432792E1
1.550329292E0,-2.331669617E1,-9.390472412E0,-3.688324738E1,4.463432792E1
1.560344292E0,-2.333168030E1,-9.448501587E0,-3.671247864E1,4.451345387E1
1.570359292E0,-2.337341309E1,-9.384323120E0,-3.674861908E1,4.455157645E1
1.580374292E0,-2.335609436E1,-9.359954834E0,-3.668887329E1,4.448808067E1
1.590389292E0,-2.347114563E1,-9.413894653E0,-3.672518158E1,4.458985369E1
