Time,Altitude,Velocity
143.2,53444.0555185022,1401.91221102671
143.3,53551.142548708,1404.45088214576
143.4,53657.3872080994,1407.05508206198
143.5,53762.6691205073,1409.79597832433
143.6,53871.9994559047,1412.49121895176
143.7,53983.4287038034,1415.1007445347
143.8,54090.3766912967,1417.73984398288
143.9,54193.4401560646,1420.36299073297
144,54296.2604012737,1422.98016797531
144.1,54402.8243192247,1425.62258141208
144.2,54512.0778887049,1428.24974360766
144.3,54616.6539243449,1430.82614056905
144.4,54719.7957813712,1433.53352765711
144.5,54825.9848827678,1436.21895556727
144.6,54934.211243549,1438.82079286334
144.7,55043.0226830557,1441.47783902347
144.8,55149.3044023656,1444.12903002773
144.9,55254.6224571397,1446.70167894404
145,55361.6850424967,1449.40286552763
145.1,55470.1812033504,1452.02528929389
145.2,55574.1651402408,1454.62732605516
145.3,55656.5297182946,1457.31283281415
145.4,55743.4461342705,1459.97737864896
145.5,55842.0261506921,1462.54516934483
145.6,55948.340711456,1465.20284223462
145.7,56053.2678402167,1467.77276791085
145.8,56155.995890348,1470.26657598095
145.9,56261.6598708728,1472.86805434742
146,56391.3182774648,1475.44323216163
146.1,56514.1078116607,1477.97984312165
146.2,56621.831737347,1480.49888500381
146.3,56720.1977944381,1482.99676251815
146.4,56820.4893652058,1485.44051923268
146.5,56918.1002284107,1488.08928786222
146.6,57018.7428260592,1490.67336046136
146.7,57121.6942534474,1493.20147721459
146.8,57226.264608629,1495.78165357308
146.9,57334.453189346,1498.47631458244
147,57443.7919324957,1501.18085956202
147.1,57555.696450954,1503.99654156651
147.2,57672.3703828055,1506.67377561581
147.3,57783.6537562588,1509.31448084206
147.4,57889.1508485529,1512.02677467497
147.5,57994.8207143242,1514.74128463597
147.6,58102.6233529832,1517.43894404266
147.7,58213.5999750756,1520.20244624281
147.8,58325.4438214093,1522.94679488145
147.9,58434.3746885436,1525.72648357579
148,58551.4931991048,1528.62299566751
148.1,58667.4495294283,1531.53787485814
148.2,58778.8675639562,1534.38591805634
148.3,58894.7856336441,1537.28775499885
148.4,59010.3425356254,1540.1430864917
148.5,59119.309771855,1542.90279614343
148.6,59232.8191746143,1545.7803422775
148.7,59342.2276629396,1548.61492913811
148.8,59452.4228079659,1551.37273797732
148.9,59566.6364869931,1554.23469181652
149,59679.8832159102,1557.04533286036
149.1,59791.894144858,1559.82346443871
149.2,59907.0399407073,1562.73694962825
149.3,60018.0806920891,1565.49705649596
149.4,60127.0293594898,1568.15787625616
149.5,60237.8539997065,1570.87550086397
149.6,60349.6952617374,1573.56502689395
